particle,lag,correlation
3,60,-0.3415343942039114
5,60,-0.9380439456393752
7,60,0.06414880917188169
1,61,0.1524375646846464
3,61,0.5255089304867527
5,61,-0.6789823669842204
7,61,0.5794511636560347
1,62,0.8169002853783253
3,62,0.9943750709365519
5,62,-0.026115177277093254
7,62,0.8044163176416881
1,63,0.9754305822297034
3,63,0.6783599877917067
5,63,0.6798708904722787
7,63,0.6231767031624292
1,64,0.506499848705652
3,64,-0.1605604939510717
5,64,0.9985605434210462
7,64,0.15106056891311884
1,65,-0.2502985134048759
3,65,-0.860603370485549
5,65,0.6780266831485252
7,65,-0.3767919468135569
1,66,-0.8320647976112214
3,66,-0.90385250514774
5,66,-0.028995165100899962
7,66,-0.7151167938006087
1,67,-0.9224921232543478
3,67,-0.2591902848389797
5,67,-0.6819595846382631
7,67,-0.7166234862631031
1,68,-0.4742895835486837
3,68,0.5994986108747841
5,68,-0.9399754064516471
7,68,-0.38117189064494167
1,69,0.2736738503742757
3,69,0.9999682522930656
5,69,-0.6808780934907538
7,69,0.14362241165538198
1,70,0.8842299831667717
3,70,0.6110079201055427
5,70,-0.02732997494380484
7,70,0.6058557078897037
1,71,0.9382732151186715
3,71,-0.2455539730348483
5,71,0.6798976864650276
7,71,0.7586537957447265
1,72,0.3942602282493121
3,72,-0.898459595976046
5,72,0.9999786949886504
7,72,0.5345225857788959
1,73,-0.3640362470029731
3,73,-0.8673007094516608
5,73,0.6801839438135823
7,73,0.06621054286398004
1,74,-0.8834537525738014
3,74,-0.17458338470812776
5,74,-0.026886777123854573
7,74,-0.4198946761963276
1,75,-0.8846230886616342
3,75,0.6677755037617643
5,75,-0.6805367390268312
7,75,-0.6994727910291625
1,76,-0.3669723525217021
3,76,0.9959320441611053
5,76,-0.9396854300452678
7,76,-0.6493018825001775
1,77,0.3912218958753729
3,77,0.537978301642633
5,77,-0.6818368279201769
7,77,-0.29046500215632765
1,78,0.9371145221346161
3,78,-0.32821869606908527
5,78,-0.02925166760536748
7,78,0.21529204633527507
1,79,0.8857775077133783
3,79,-0.9282801890141716
5,79,0.6775393116882088
7,79,0.6179808850233452
1,80,0.27683788229081
3,80,-0.8228297030070737
5,80,0.9979896230253733
7,80,0.7021610679982108
