
[2026-09-20T15:52:40.409164+00:00] Cell 1: parameters

[2026-09-20T15:52:40.537338+00:00] Cell 2: 2
Worker 1: checkpoint 9500/100000 (9.5%), t=475
Worker 3: checkpoint 9500/100000 (9.5%), t=475
Worker 13: checkpoint 9500/100000 (9.5%), t=475
Worker 2: checkpoint 9500/100000 (9.5%), t=475
Worker 6: checkpoint 9500/100000 (9.5%), t=475
Worker 12: checkpoint 9500/100000 (9.5%), t=475
Worker 15: checkpoint 9500/100000 (9.5%), t=475
Worker 7: checkpoint 9500/100000 (9.5%), t=475
Worker 14: checkpoint 9500/100000 (9.5%), t=475
Worker 4: checkpoint 9500/100000 (9.5%), t=475
Worker 5: checkpoint 9500/100000 (9.5%), t=475
Worker 9: checkpoint 9500/100000 (9.5%), t=475
Worker 8: checkpoint 9500/100000 (9.5%), t=475
Worker 11: checkpoint 9500/100000 (9.5%), t=475
Worker 16: checkpoint 9500/100000 (9.5%), t=475
Worker 10: checkpoint 9500/100000 (9.5%), t=475
Worker 1: checkpoint 10000/100000 (10.0%), t=500
Worker 13: checkpoint 10000/100000 (10.0%), t=500
Worker 3: checkpoint 10000/100000 (10.0%), t=500
Worker 2: checkpoint 10000/100000 (10.0%), t=500
Worker 6: checkpoint 10000/100000 (10.0%), t=500
Worker 12: checkpoint 10000/100000 (10.0%), t=500
Worker 15: checkpoint 10000/100000 (10.0%), t=500
Worker 7: checkpoint 10000/100000 (10.0%), t=500
Worker 14: checkpoint 10000/100000 (10.0%), t=500
Worker 4: checkpoint 10000/100000 (10.0%), t=500
Worker 5: checkpoint 10000/100000 (10.0%), t=500
Worker 9: checkpoint 10000/100000 (10.0%), t=500
Worker 8: checkpoint 10000/100000 (10.0%), t=500
Worker 11: checkpoint 10000/100000 (10.0%), t=500
Worker 16: checkpoint 10000/100000 (10.0%), t=500
Worker 10: checkpoint 10000/100000 (10.0%), t=500
Worker 1: checkpoint 10500/100000 (10.5%), t=525
Worker 2: checkpoint 10500/100000 (10.5%), t=525
Worker 13: checkpoint 10500/100000 (10.5%), t=525
Worker 3: checkpoint 10500/100000 (10.5%), t=525
Worker 6: checkpoint 10500/100000 (10.5%), t=525
Worker 12: checkpoint 10500/100000 (10.5%), t=525
Worker 14: checkpoint 10500/100000 (10.5%), t=525
Worker 4: checkpoint 10500/100000 (10.5%), t=525
Worker 15: checkpoint 10500/100000 (10.5%), t=525
Worker 7: checkpoint 10500/100000 (10.5%), t=525
Worker 5: checkpoint 10500/100000 (10.5%), t=525
Worker 9: checkpoint 10500/100000 (10.5%), t=525
Worker 8: checkpoint 10500/100000 (10.5%), t=525
Worker 11: checkpoint 10500/100000 (10.5%), t=525
Worker 16: checkpoint 10500/100000 (10.5%), t=525
Worker 10: checkpoint 10500/100000 (10.5%), t=525
Worker 2: checkpoint 11000/100000 (11.0%), t=550
Worker 13: checkpoint 11000/100000 (11.0%), t=550
Worker 3: checkpoint 11000/100000 (11.0%), t=550
Worker 1: checkpoint 11000/100000 (11.0%), t=550
Worker 6: checkpoint 11000/100000 (11.0%), t=550
Worker 12: checkpoint 11000/100000 (11.0%), t=550
Worker 14: checkpoint 11000/100000 (11.0%), t=550
Worker 4: checkpoint 11000/100000 (11.0%), t=550
Worker 15: checkpoint 11000/100000 (11.0%), t=550
Worker 7: checkpoint 11000/100000 (11.0%), t=550
Worker 9: checkpoint 11000/100000 (11.0%), t=550
Worker 8: checkpoint 11000/100000 (11.0%), t=550
Worker 11: checkpoint 11000/100000 (11.0%), t=550
Worker 5: checkpoint 11000/100000 (11.0%), t=550
Worker 16: checkpoint 11000/100000 (11.0%), t=550
Worker 10: checkpoint 11000/100000 (11.0%), t=550
Worker 2: checkpoint 11500/100000 (11.5%), t=575
Worker 13: checkpoint 11500/100000 (11.5%), t=575
Worker 3: checkpoint 11500/100000 (11.5%), t=575
Worker 1: checkpoint 11500/100000 (11.5%), t=575
Worker 6: checkpoint 11500/100000 (11.5%), t=575
Worker 12: checkpoint 11500/100000 (11.5%), t=575
Worker 14: checkpoint 11500/100000 (11.5%), t=575
Worker 4: checkpoint 11500/100000 (11.5%), t=575
Worker 15: checkpoint 11500/100000 (11.5%), t=575
Worker 7: checkpoint 11500/100000 (11.5%), t=575
Worker 9: checkpoint 11500/100000 (11.5%), t=575
Worker 5: checkpoint 11500/100000 (11.5%), t=575
Worker 11: checkpoint 11500/100000 (11.5%), t=575
Worker 8: checkpoint 11500/100000 (11.5%), t=575
Worker 16: checkpoint 11500/100000 (11.5%), t=575
Worker 10: checkpoint 11500/100000 (11.5%), t=575
Worker 2: checkpoint 12000/100000 (12.0%), t=600
Worker 13: checkpoint 12000/100000 (12.0%), t=600
Worker 3: checkpoint 12000/100000 (12.0%), t=600
Worker 1: checkpoint 12000/100000 (12.0%), t=600
Worker 6: checkpoint 12000/100000 (12.0%), t=600
Worker 12: checkpoint 12000/100000 (12.0%), t=600
Worker 14: checkpoint 12000/100000 (12.0%), t=600
Worker 4: checkpoint 12000/100000 (12.0%), t=600
Worker 7: checkpoint 12000/100000 (12.0%), t=600
Worker 15: checkpoint 12000/100000 (12.0%), t=600
Worker 9: checkpoint 12000/100000 (12.0%), t=600
Worker 5: checkpoint 12000/100000 (12.0%), t=600
Worker 8: checkpoint 12000/100000 (12.0%), t=600
Worker 11: checkpoint 12000/100000 (12.0%), t=600
Worker 16: checkpoint 12000/100000 (12.0%), t=600
Worker 10: checkpoint 12000/100000 (12.0%), t=600
Worker 2: checkpoint 12500/100000 (12.5%), t=625
Worker 13: checkpoint 12500/100000 (12.5%), t=625
Worker 3: checkpoint 12500/100000 (12.5%), t=625
Worker 1: checkpoint 12500/100000 (12.5%), t=625
Worker 6: checkpoint 12500/100000 (12.5%), t=625
Worker 12: checkpoint 12500/100000 (12.5%), t=625
Worker 14: checkpoint 12500/100000 (12.5%), t=625
Worker 7: checkpoint 12500/100000 (12.5%), t=625
Worker 15: checkpoint 12500/100000 (12.5%), t=625
Worker 4: checkpoint 12500/100000 (12.5%), t=625
Worker 9: checkpoint 12500/100000 (12.5%), t=625
Worker 5: checkpoint 12500/100000 (12.5%), t=625
Worker 8: checkpoint 12500/100000 (12.5%), t=625
Worker 11: checkpoint 12500/100000 (12.5%), t=625
Worker 16: checkpoint 12500/100000 (12.5%), t=625
Worker 10: checkpoint 12500/100000 (12.5%), t=625
Worker 2: checkpoint 13000/100000 (13.0%), t=650
Worker 13: checkpoint 13000/100000 (13.0%), t=650
Worker 3: checkpoint 13000/100000 (13.0%), t=650
Worker 6: checkpoint 13000/100000 (13.0%), t=650
Worker 1: checkpoint 13000/100000 (13.0%), t=650
Worker 12: checkpoint 13000/100000 (13.0%), t=650
Worker 14: checkpoint 13000/100000 (13.0%), t=650
Worker 7: checkpoint 13000/100000 (13.0%), t=650
Worker 15: checkpoint 13000/100000 (13.0%), t=650
Worker 4: checkpoint 13000/100000 (13.0%), t=650
Worker 9: checkpoint 13000/100000 (13.0%), t=650
Worker 16: checkpoint 13000/100000 (13.0%), t=650
Worker 8: checkpoint 13000/100000 (13.0%), t=650
Worker 5: checkpoint 13000/100000 (13.0%), t=650
Worker 11: checkpoint 13000/100000 (13.0%), t=650
Worker 10: checkpoint 13000/100000 (13.0%), t=650
Worker 2: checkpoint 13500/100000 (13.5%), t=675
Worker 13: checkpoint 13500/100000 (13.5%), t=675
Worker 3: checkpoint 13500/100000 (13.5%), t=675
Worker 6: checkpoint 13500/100000 (13.5%), t=675
Worker 1: checkpoint 13500/100000 (13.5%), t=675
Worker 12: checkpoint 13500/100000 (13.5%), t=675
Worker 7: checkpoint 13500/100000 (13.5%), t=675
Worker 14: checkpoint 13500/100000 (13.5%), t=675
Worker 15: checkpoint 13500/100000 (13.5%), t=675
Worker 4: checkpoint 13500/100000 (13.5%), t=675
Worker 9: checkpoint 13500/100000 (13.5%), t=675
Worker 16: checkpoint 13500/100000 (13.5%), t=675
Worker 8: checkpoint 13500/100000 (13.5%), t=675
Worker 5: checkpoint 13500/100000 (13.5%), t=675
Worker 11: checkpoint 13500/100000 (13.5%), t=675
Worker 10: checkpoint 13500/100000 (13.5%), t=675
