
[2026-09-20T17:06:28.083226+00:00] Cell 1: parameters

[2026-09-20T17:06:28.301317+00:00] Cell 2: 2
Worker 3: checkpoint 25500/100000 (25.5%)
Worker 1: checkpoint 22500/100000 (22.5%)
Worker 2: checkpoint 27000/100000 (27.0%)
Worker 2: checkpoint 27000/100000 (27.0%)
Worker 3: checkpoint 26000/100000 (26.0%)
Worker 4: checkpoint 29000/100000 (29.0%)
Worker 3: checkpoint 26000/100000 (26.0%)
Worker 4: checkpoint 29000/100000 (29.0%)
Worker 2: checkpoint 27500/100000 (27.5%)
Worker 2: checkpoint 27500/100000 (27.5%)
Worker 3: checkpoint 26500/100000 (26.5%)
Worker 3: checkpoint 26500/100000 (26.5%)
Worker 4: checkpoint 29500/100000 (29.5%)
Worker 2: checkpoint 28000/100000 (28.0%)
Worker 4: checkpoint 29500/100000 (29.5%)
Worker 2: checkpoint 28000/100000 (28.0%)
Worker 1: checkpoint 23000/100000 (23.0%)
Worker 3: checkpoint 27000/100000 (27.0%)
Worker 1: checkpoint 23000/100000 (23.0%)
Worker 3: checkpoint 27000/100000 (27.0%)
Worker 2: checkpoint 28500/100000 (28.5%)
Worker 2: checkpoint 28500/100000 (28.5%)
Worker 3: checkpoint 27500/100000 (27.5%)
Worker 3: checkpoint 27500/100000 (27.5%)
Worker 2: checkpoint 29000/100000 (29.0%)
Worker 2: checkpoint 29000/100000 (29.0%)
Worker 3: checkpoint 28000/100000 (28.0%)
Worker 3: checkpoint 28000/100000 (28.0%)
Worker 2: checkpoint 29500/100000 (29.5%)
Worker 4: checkpoint 30000/100000 (30.0%)
Worker 2: checkpoint 29500/100000 (29.5%)
Worker 4: checkpoint 30000/100000 (30.0%)
Worker 3: checkpoint 28500/100000 (28.5%)
Worker 3: checkpoint 28500/100000 (28.5%)
Worker 2: checkpoint 30000/100000 (30.0%)
Worker 2: checkpoint 30000/100000 (30.0%)
Worker 1: checkpoint 23500/100000 (23.5%)
Worker 1: checkpoint 23500/100000 (23.5%)
Worker 4: checkpoint 30500/100000 (30.5%)
Worker 4: checkpoint 30500/100000 (30.5%)
Worker 2: checkpoint 30500/100000 (30.5%)
Worker 2: checkpoint 30500/100000 (30.5%)
Worker 3: checkpoint 29000/100000 (29.0%)
Worker 4: checkpoint 31000/100000 (31.0%)
Worker 3: checkpoint 29000/100000 (29.0%)
Worker 4: checkpoint 31000/100000 (31.0%)
Worker 3: checkpoint 29500/100000 (29.5%)
Worker 3: checkpoint 29500/100000 (29.5%)
Worker 2: checkpoint 31000/100000 (31.0%)
Worker 2: checkpoint 31000/100000 (31.0%)
Worker 3: checkpoint 30000/100000 (30.0%)
Worker 4: checkpoint 31500/100000 (31.5%)
Worker 3: checkpoint 30000/100000 (30.0%)
Worker 4: checkpoint 31500/100000 (31.5%)
Worker 1: checkpoint 24000/100000 (24.0%)
Worker 1: checkpoint 24000/100000 (24.0%)
Worker 2: checkpoint 31500/100000 (31.5%)
Worker 2: checkpoint 31500/100000 (31.5%)
Worker 4: checkpoint 32000/100000 (32.0%)
Worker 4: checkpoint 32000/100000 (32.0%)
Worker 2: checkpoint 32000/100000 (32.0%)
Worker 2: checkpoint 32000/100000 (32.0%)
Worker 2: checkpoint 32500/100000 (32.5%)
Worker 4: checkpoint 32500/100000 (32.5%)
Worker 2: checkpoint 32500/100000 (32.5%)
Worker 4: checkpoint 32500/100000 (32.5%)
Worker 3: checkpoint 30500/100000 (30.5%)
Worker 3: checkpoint 30500/100000 (30.5%)
Worker 2: checkpoint 33000/100000 (33.0%)
Worker 4: checkpoint 33000/100000 (33.0%)
Worker 2: checkpoint 33000/100000 (33.0%)
Worker 4: checkpoint 33000/100000 (33.0%)
Worker 1: checkpoint 24500/100000 (24.5%)
Worker 1: checkpoint 24500/100000 (24.5%)
Worker 2: checkpoint 33500/100000 (33.5%)
Worker 4: checkpoint 33500/100000 (33.5%)
Worker 2: checkpoint 33500/100000 (33.5%)
Worker 4: checkpoint 33500/100000 (33.5%)
Worker 2: checkpoint 34000/100000 (34.0%)
Worker 4: checkpoint 34000/100000 (34.0%)
Worker 2: checkpoint 34000/100000 (34.0%)
Worker 4: checkpoint 34000/100000 (34.0%)
Worker 3: checkpoint 31000/100000 (31.0%)
Worker 3: checkpoint 31000/100000 (31.0%)
Worker 4: checkpoint 34500/100000 (34.5%)
Worker 4: checkpoint 34500/100000 (34.5%)
Worker 2: checkpoint 34500/100000 (34.5%)
Worker 2: checkpoint 34500/100000 (34.5%)
Worker 1: checkpoint 25000/100000 (25.0%)
Worker 1: checkpoint 25000/100000 (25.0%)
Worker 3: checkpoint 31500/100000 (31.5%)
Worker 3: checkpoint 31500/100000 (31.5%)
Worker 2: checkpoint 35000/100000 (35.0%)
Worker 2: checkpoint 35000/100000 (35.0%)
Worker 4: checkpoint 35000/100000 (35.0%)
Worker 4: checkpoint 35000/100000 (35.0%)
Worker 3: checkpoint 32000/100000 (32.0%)
Worker 3: checkpoint 32000/100000 (32.0%)
Worker 2: checkpoint 35500/100000 (35.5%)
Worker 2: checkpoint 35500/100000 (35.5%)
Worker 2: checkpoint 36000/100000 (36.0%)
Worker 4: checkpoint 35500/100000 (35.5%)
Worker 2: checkpoint 36000/100000 (36.0%)
Worker 4: checkpoint 35500/100000 (35.5%)
Worker 3: checkpoint 32500/100000 (32.5%)
Worker 1: checkpoint 25500/100000 (25.5%)
Worker 3: checkpoint 32500/100000 (32.5%)
Worker 1: checkpoint 25500/100000 (25.5%)
Worker 4: checkpoint 36000/100000 (36.0%)
Worker 4: checkpoint 36000/100000 (36.0%)
Worker 1: checkpoint 26000/100000 (26.0%)
Worker 1: checkpoint 26000/100000 (26.0%)
Worker 3: checkpoint 33000/100000 (33.0%)
Worker 3: checkpoint 33000/100000 (33.0%)
Worker 4: checkpoint 36500/100000 (36.5%)
Worker 2: checkpoint 36500/100000 (36.5%)
Worker 4: checkpoint 36500/100000 (36.5%)
Worker 2: checkpoint 36500/100000 (36.5%)
Worker 3: checkpoint 33500/100000 (33.5%)
Worker 3: checkpoint 33500/100000 (33.5%)
Worker 4: checkpoint 37000/100000 (37.0%)
Worker 4: checkpoint 37000/100000 (37.0%)
Worker 1: checkpoint 26500/100000 (26.5%)
Worker 1: checkpoint 26500/100000 (26.5%)
Worker 3: checkpoint 34000/100000 (34.0%)
Worker 3: checkpoint 34000/100000 (34.0%)
Worker 4: checkpoint 37500/100000 (37.5%)
Worker 4: checkpoint 37500/100000 (37.5%)
Worker 1: checkpoint 27000/100000 (27.0%)
Worker 1: checkpoint 27000/100000 (27.0%)
Worker 3: checkpoint 34500/100000 (34.5%)
Worker 3: checkpoint 34500/100000 (34.5%)
Worker 4: checkpoint 38000/100000 (38.0%)
Worker 2: checkpoint 37000/100000 (37.0%)
Worker 4: checkpoint 38000/100000 (38.0%)
Worker 2: checkpoint 37000/100000 (37.0%)
Worker 3: checkpoint 35000/100000 (35.0%)
